test_name,n1,n2,mean1,mean2,median1,median2,std1,std2,mean_diff,group1_formatted,group2_formatted,test_type,p_value,significant,sig_symbol,location,year,week,period,n_pairs,mean_before,mean_after,before_formatted,after_formatted
living - 2008 W2 - full_day,20.0,10.0,18.37816489317909,18.19416439483735,17.746311720318047,18.308894338436943,1.7038721225584743,1.357589989701331,0.1840004983417387,"18.38 (17.75, 1.70)","18.19 (18.31, 1.36)",Independent t-test,0.7688180888602268,False,ns,living,2008.0,2.0,full_day,,,,,
living - 2008 W2 - daytime,20.0,10.0,19.134850715252067,18.62642444181999,18.745875230266044,18.79161273237735,2.1314973309553435,1.388959935440608,0.5084262734320788,"19.13 (18.75, 2.13)","18.63 (18.79, 1.39)",Independent t-test,0.500726134140296,False,ns,living,2008.0,2.0,daytime,,,,,
living - 2008 W2 - nighttime,20.0,10.0,17.941174375664115,17.811845701820808,17.76873812735952,17.640964540079285,1.7698581676603968,1.4207458547336964,0.12932867384330748,"17.94 (17.77, 1.77)","17.81 (17.64, 1.42)",Independent t-test,0.8425556061844759,False,ns,living,2008.0,2.0,nighttime,,,,,
living - 2009 W1 - full_day,20.0,10.0,17.31501458181163,17.19213670892056,17.251499427776494,16.66739143926611,1.865047583570189,1.903854844845912,0.12287787289107044,"17.32 (17.25, 1.87)","17.19 (16.67, 1.90)",Independent t-test,0.8670309571820283,False,ns,living,2009.0,1.0,full_day,,,,,
living - 2009 W1 - daytime,18.0,10.0,17.916219680221346,17.332136265932785,18.059809245071126,17.15452820052936,1.6922112288819966,1.5677140115782553,0.5840834142885605,"17.92 (18.06, 1.69)","17.33 (17.15, 1.57)",Independent t-test,0.37772437779137547,False,ns,living,2009.0,1.0,daytime,,,,,
living - 2009 W1 - nighttime,20.0,10.0,17.077597647293004,17.09962115617043,17.261497698717392,16.34075810056215,1.9690469233531127,2.1660335190910143,-0.022023508877424547,"17.08 (17.26, 1.97)","17.10 (16.34, 2.17)",Independent t-test,0.9778996279993377,False,ns,living,2009.0,1.0,nighttime,,,,,
living - 2009 W2 - full_day,20.0,10.0,16.688948876271102,16.299612383664225,16.94616664574206,15.83459638419857,2.2980698362515173,2.0982758369237064,0.3893364926068763,"16.69 (16.95, 2.30)","16.30 (15.83, 2.10)",Independent t-test,0.6564449752865571,False,ns,living,2009.0,2.0,full_day,,,,,
living - 2009 W2 - daytime,20.0,10.0,17.141092008716598,16.498625907222575,16.93248633231025,16.200619827894727,2.200892278606546,1.8840491700608972,0.6424661014940227,"17.14 (16.93, 2.20)","16.50 (16.20, 1.88)",Independent t-test,0.43713029568232287,False,ns,living,2009.0,2.0,daytime,,,,,
living - 2009 W2 - nighttime,20.0,10.0,16.3493871769387,16.152862995925084,16.324623249699336,15.862961893561561,2.5443072215928377,2.2616338248949583,0.1965241810136149,"16.35 (16.32, 2.54)","16.15 (15.86, 2.26)",Independent t-test,0.8378778434742657,False,ns,living,2009.0,2.0,nighttime,,,,,
living - Ventilation Effect,,,,,,,,,0.5621462881273485,,,Paired t-test,0.07280928413884812,False,ns,living,,,,20.0,17.816018605051738,18.37816489317909,"17.82 (17.77, 1.83)","18.38 (17.75, 1.70)"
