period,week,year,active_mean,active_std,active_median,active_n,control_mean,control_std,control_median,control_n,mean_difference,active_normal,control_normal,equal_variance,test_type,u_statistic,p_value,median_diff,effect_size,group1_median,group2_median,group1_n,group2_n,significant,significance_level
overall,1,2008,11.220564403151513,2.429287986750961,11.4,89227,11.6808720894324,2.6633029996364033,11.9,48573,0.4603076862808866,False,False,False,Mann-Whitney U test,1922952357.5,2.7157900889657846e-262,-0.5,0.11262477102766677,11.4,11.9,89227,48573,True,***
daytime,1,2008,12.5451499164229,2.1562128319032117,12.8,38288,13.135283815340399,2.274651017786836,13.3,22268,0.5901338989174985,False,False,False,Mann-Whitney U test,358404784.5,4.862542763912624e-235,-0.5,0.15926350397141353,12.8,13.3,38288,22268,True,***
nighttime,1,2008,10.224947486208995,2.129006867290455,10.6,50939,10.449667363619083,2.326239103442839,10.7,26305,0.22471987741008803,False,False,False,Mann-Whitney U test,624528167.5,5.0218866947315114e-54,-0.09999999999999964,0.06783389917952898,10.6,10.7,50939,26305,True,***
overall,2,2008,11.884915971946539,2.9731601527893057,12.4,75570,12.302728673370094,2.726633126043479,12.6,49328,0.4178127014235553,False,False,False,Mann-Whitney U test,1722941582.5,2.4659874750381956e-113,-0.1999999999999993,0.07560493407203317,12.4,12.6,75570,49328,True,***
daytime,2,2008,13.340715066444229,2.4789563796979035,13.7,34766,13.59380209446463,2.2570130585887296,13.9,23395,0.25308702802040095,False,False,False,Mann-Whitney U test,385564576.5,2.0730363972270615e-26,-0.20000000000000107,0.051910478159497675,13.7,13.9,34766,23395,True,***
nighttime,2,2008,10.644539751004803,2.791285895713575,11.2,40804,11.13800948598311,2.5856828844787443,11.4,25933,0.4934697349783068,False,False,False,Mann-Whitney U test,481918953.5,3.2457091677408575e-84,-0.20000000000000107,0.08914655795633442,11.2,11.4,40804,25933,True,***
overall,1,2009,12.291958413407022,3.4638373681807866,13.1,83777,12.355054230841569,3.220364554005543,13.0,47851,0.06309581743454729,False,False,False,Mann-Whitney U test,2020797232.5,0.01343920789760786,0.09999999999999964,-0.008177292416422066,13.1,13.0,83777,47851,True,*
daytime,1,2009,13.998072785944784,2.704617164272909,14.5,33468,13.97406640078728,2.517942502853896,14.4,19307,-0.024006385157504084,False,False,False,Mann-Whitney U test,331712082.0,3.068773337257186e-07,0.09999999999999964,-0.026707486846629047,14.5,14.4,33468,19307,True,***
nighttime,1,2009,11.156967938142282,3.4480703001548063,12.2,50309,11.259963565022423,3.1820000662277073,12.2,28544,0.10299562688014063,False,False,False,Mann-Whitney U test,720966460.0,0.33580169692627737,0.0,-0.004117507837439138,12.2,12.2,50309,28544,False,ns
overall,2,2009,11.647967657342658,3.401537595907798,12.5,96096,11.356893145507646,3.542771089306114,12.2,46568,-0.29107451183501176,False,False,False,Mann-Whitney U test,2335624336.0,2.9280598941392957e-41,0.3000000000000007,-0.04385479520765556,12.5,12.2,96096,46568,True,***
daytime,2,2009,13.259918533604887,2.800046551917811,13.8,36825,13.129016547678345,2.8888698092599214,13.8,18069,-0.1309019859265419,False,False,True,Mann-Whitney U test,339995453.0,2.8568016172355953e-05,0.0,-0.021941959908755804,13.8,13.8,36825,18069,True,***
nighttime,2,2009,10.646464544212177,3.3571967441348676,11.4,59271,10.233327485174918,3.4589714246483485,10.9,28499,-0.4131370590372594,False,False,False,Mann-Whitney U test,905901824.5,3.655114486409146e-68,0.5,-0.07260360946229816,11.4,10.9,59271,28499,True,***
