house_num,house_group,year,week,location,period,mean,std,median,min,max,q25,q75,iqr,n_points,hours,pct_below_12,pct_12_to_18,pct_18_to_24,pct_above_24,pct_above_28,minutes_below_12,minutes_in_who,minutes_above_24,range,cv,extreme_cold_events,extreme_hot_events
1,active,2008,1,living,overall,18.880112634671892,1.9479151391220004,18.39,16.1,24.4,17.3,20.39,3.09,4084,136.13333333333333,0.0,40.74436826640549,58.61900097943193,0.6366307541625857,0.0,0,4788,52,8.299999999999997,10.317285584116709,0,0
1,active,2008,1,living,day,18.049295774647888,1.4458305088447627,17.6,16.2,22.8,17.0,18.7,1.6999999999999993,1420,47.333333333333336,0.0,57.25352112676057,42.74647887323943,0.0,0.0,0,1214,0,6.600000000000001,8.010453853139147,0,0
1,active,2008,1,living,night,19.322965465465465,2.0345760558241834,19.1,16.1,24.4,17.6,20.9,3.299999999999997,2664,88.8,0.0,31.944444444444443,67.07957957957959,0.975975975975976,0.0,0,3574,52,8.299999999999997,10.529315800208998,0,0
2,active,2008,1,living,overall,17.64280565511748,1.6977053980200218,17.5,13.9,22.7,16.3,19.0,2.6999999999999993,5022,167.4,0.0,57.86539227399442,42.13460772600558,0.0,0.0,0,4232,0,8.799999999999999,9.622649771282747,0,0
2,active,2008,1,living,day,18.08965140478668,1.4480499131537181,18.0,14.6,22.5,17.1,19.1,2.0,1922,64.06666666666666,0.0,49.47970863683663,50.52029136316337,0.0,0.0,0,1942,0,7.9,8.004852502412243,0,0
2,active,2008,1,living,night,17.36576129032258,1.7802648993235306,17.1,13.9,22.7,15.9,18.89,2.99,3100,103.33333333333333,0.0,63.064516129032256,36.935483870967744,0.0,0.0,0,2290,0,8.799999999999999,10.251579931112026,0,0
3,active,2008,1,living,overall,18.414913501690197,1.755211780516995,18.2,14.4,22.9,17.2,19.5,2.3000000000000007,5029,167.63333333333333,0.0,44.223503678663754,55.77649632133625,0.0,0.0,0,5610,0,8.499999999999998,9.531469047388653,0,0
3,active,2008,1,living,day,19.172414330218068,2.102156798847933,18.89,14.4,22.9,17.5,21.1,3.6000000000000014,1926,64.2,0.0,33.85254413291797,66.14745586708204,0.0,0.0,0,2548,0,8.499999999999998,10.964486593296062,0,0
3,active,2008,1,living,night,17.912849180327868,1.2747984285093579,17.89,14.5,21.2,17.0,18.8,1.8000000000000007,3050,101.66666666666667,0.0,51.540983606557376,48.459016393442624,0.0,0.0,0,2956,0,6.699999999999999,7.116670361459631,0,0
4,active,2008,1,living,overall,17.80835470507003,1.9525632111599949,17.89,12.9,22.3,16.3,19.3,3.0,5069,168.96666666666667,0.0,50.10850266324719,49.89149733675281,0.0,0.0,0,5058,0,9.4,10.964309974149948,0,0
4,active,2008,1,living,day,18.19436804853387,1.9986980663864589,18.2,14.0,22.3,16.89,19.8,2.91,1978,65.93333333333334,0.0,43.73104145601618,56.26895854398383,0.0,0.0,0,2226,0,8.3,10.985256872098489,0,0
4,active,2008,1,living,night,17.601084019769356,1.875267815070233,17.8,12.9,20.8,16.2,19.0,2.8000000000000007,3035,101.16666666666667,0.0,53.34431630971993,46.655683690280064,0.0,0.0,0,2832,0,7.9,10.65427454902182,0,0
5,control,2008,1,living,overall,16.19023460410557,1.6933390935024522,16.1,12.7,21.3,14.8,17.4,2.599999999999998,5115,170.5,0.0,84.02737047898339,15.972629521016618,0.0,0.0,0,1634,0,8.600000000000001,10.459015171238162,0,0
5,control,2008,1,living,day,16.825853889943073,1.8886204027352758,16.9,12.7,21.3,15.2,18.25,3.0500000000000007,2108,70.26666666666667,0.0,69.35483870967742,30.64516129032258,0.0,0.0,0,1292,0,8.600000000000001,11.224514459049933,0,0
5,control,2008,1,living,night,15.742279534109818,1.3743956286086372,15.6,12.7,19.1,14.6,16.8,2.200000000000001,3005,100.16666666666667,0.0,94.37603993344426,5.62396006655574,0.0,0.0,0,338,0,6.400000000000002,8.730601090081299,0,0
6,active,2008,1,living,overall,14.741718813905928,2.5772292904947816,14.6,9.69,20.6,12.5,16.8,4.300000000000001,4890,163.0,17.75051124744376,69.03885480572598,13.210633946830267,0.0,0.0,1736,1292,0,10.910000000000002,17.482556295020835,4,0
6,active,2008,1,living,day,15.897064075630253,2.565942563502194,16.6,9.9,20.3,13.8,18.0,4.199999999999999,1904,63.46666666666667,10.714285714285714,61.8172268907563,27.468487394957986,0.0,0.0,408,1046,0,10.4,16.140983965936897,4,0
6,active,2008,1,living,night,14.006790102389077,2.316198660049319,13.649999999999999,9.69,20.6,12.1,15.9,3.8000000000000007,2930,97.66666666666667,22.55972696245734,73.24232081911262,4.197952218430034,0.0,0.0,1322,246,0,10.910000000000002,16.536255938141426,4,0
7,control,2008,1,living,overall,14.355313028764808,1.4421197594573012,14.325,10.9,17.5,13.4,15.6,2.1999999999999993,4728,157.6,4.928087986463621,95.07191201353638,0.0,0.0,0.0,466,0,0,6.6,10.045895596756536,2,0
7,control,2008,1,living,day,14.713619361936194,1.6147499102822223,14.9,10.9,17.5,13.5,16.1,2.6000000000000014,1818,60.6,4.400440044004401,95.59955995599559,0.0,0.0,0.0,160,0,0,6.6,10.974525509743335,2,0
7,control,2008,1,living,night,14.131463917525773,1.2729694449891638,14.2,10.9,16.6,13.3,15.1,1.799999999999999,2910,97.0,5.257731958762887,94.74226804123711,0.0,0.0,0.0,306,0,0,5.700000000000001,9.008050775337107,1,0
8,active,2008,1,living,overall,14.96038931514635,2.541923390171379,14.0,11.8,21.6,13.1,16.5,3.4000000000000004,3519,117.3,0.2841716396703609,82.01193520886616,17.703893151463486,0.0,0.0,20,1246,0,9.8,16.991024341845563,0,0
8,active,2008,1,living,day,13.973225352112676,2.0305992942800066,13.6,12.0,20.3,12.6,14.1,1.5,1420,47.333333333333336,0.0,89.85915492957747,10.140845070422536,0.0,0.0,0,288,0,8.3,14.532072897350009,0,0
8,active,2008,1,living,night,15.629990361445781,2.6494724279531043,14.9,11.8,21.6,13.5,17.7,4.199999999999999,2075,69.16666666666667,0.48192771084337355,76.43373493975903,23.08433734939759,0.0,0.0,20,958,0,9.8,16.95120960847494,0,0
9,active,2008,1,living,overall,16.657111557788944,2.2829019368193153,17.0,11.8,21.7,14.7,18.39,3.6900000000000013,4975,165.83333333333334,0.5628140703517588,65.10552763819095,34.33165829145729,0.0,0.0,56,3416,0,9.899999999999999,13.70526894113175,1,0
9,active,2008,1,living,day,17.50145153433999,1.5391910539625282,17.8,11.8,20.3,16.8,18.6,1.8000000000000007,2053,68.43333333333334,0.6332196785192401,52.41110569897711,46.95567462250365,0.0,0.0,26,1928,0,8.5,8.794647980725752,0,0
9,active,2008,1,living,night,16.05683848797251,2.524103053259751,15.6,11.9,21.7,14.0,18.0,4.0,2910,97.0,0.5154639175257731,74.05498281786942,25.42955326460481,0.0,0.0,30,1480,0,9.799999999999999,15.719800975456335,0,0
10,active,2008,1,living,overall,22.32750173330252,1.9242333279881165,22.2,18.2,27.1,20.7,23.8,3.1000000000000014,4327,144.23333333333332,0.0,0.0,77.282181650104,22.717818349896003,0.0,0,6688,1966,8.900000000000002,8.61822048419341,0,0
10,active,2008,1,living,day,23.622306442880348,1.6722645026820062,23.9,20.2,27.1,22.3,24.9,2.599999999999998,1847,61.56666666666667,0.0,0.0,52.13860314022739,47.861396859772604,0.0,0,1926,1768,6.900000000000002,7.07917538334204,0,0
10,active,2008,1,living,night,21.363185483870968,1.4831021905366448,21.3,18.2,24.6,20.1,22.5,2.3999999999999986,2480,82.66666666666667,0.0,0.0,96.00806451612904,3.9919354838709675,0.0,0,4762,198,6.400000000000002,6.942326984224216,0,0
11,active,2008,1,living,overall,18.562093929450366,2.2027629326908937,18.5,14.0,24.1,16.7,20.39,3.6900000000000013,4876,162.53333333333333,0.0,42.49384741591468,57.44462674323215,0.06152584085315833,0.0,0,5602,6,10.100000000000001,11.866995938405527,0,0
