house_num,week,year,n_points,pct_above,temp_threshold_mean,temp_threshold_median,temp_threshold_q25,temp_threshold_q75,solar_threshold_mean,solar_threshold_median,solar_threshold_q25,solar_threshold_q75
1,1,2008,1420,14.71830985915493,14.07511961722488,13.9,13.6,14.8,0.21751196172248805,0.21,0.16,0.28
2,1,2008,1921,1.978136387298282,13.239473684210523,13.25,13.125,13.4,0.15473684210526312,0.16,0.1,0.18
3,1,2008,1926,17.133956386292834,13.855454545454545,13.8,13.3,14.2,0.22854545454545455,0.22,0.17,0.29
4,1,2008,1978,44.135490394337715,13.022451317296678,13.0,12.4,13.4,0.18820160366552122,0.19,0.11,0.27
5,1,2008,2108,18.59582542694497,13.51045918367347,13.3,12.9,14.2,0.20887755102040814,0.21,0.15,0.27
6,1,2008,1904,32.405462184873954,11.742625607779578,12.0,11.0,12.4,0.26322528363047004,0.27,0.2,0.33
7,1,2008,1971,1.36986301369863,12.274074074074074,12.1,12.0,12.6,0.2488888888888889,0.27,0.18,0.28
9,1,2008,2054,34.76144109055501,11.763445378151259,11.7,11.2,12.4,0.2469047619047619,0.25,0.18,0.32
10,1,2008,1847,55.38711423930699,11.409970674486804,11.4,10.6,12.1,0.22304007820136854,0.23,0.14,0.3
11,1,2008,2070,52.85024154589372,13.437842778793419,13.3,12.8,14.1,0.2173217550274223,0.2,0.12,0.32
12,1,2008,1999,63.9319659829915,13.556025039123629,13.4,12.9,14.3,0.2319640062597809,0.23,0.14,0.33
13,1,2008,2058,51.40913508260447,13.667391304347825,13.8,12.9,14.3,0.2236389413988658,0.23,0.12,0.31
14,1,2008,2134,38.23805060918463,14.432230392156864,14.4,14.1,14.9,0.2685661764705882,0.27,0.2,0.35
15,1,2008,1707,71.82190978324546,14.05195758564437,14.1,13.3,14.7,0.2442740619902121,0.25,0.16,0.33
16,1,2008,2125,61.6,13.851489686783804,13.8,13.2,14.3,0.24029793735676086,0.22,0.14,0.35
17,1,2008,2157,60.871580899397316,14.23015993907083,14.0,13.5,14.9,0.25106626047220104,0.23,0.16,0.36
18,1,2008,2280,65.04385964912281,14.224072825354012,14.0,13.4,14.9,0.2564396493594066,0.25,0.15,0.37
19,1,2008,2141,70.48108360579168,14.072564612326044,13.9,13.2,14.9,0.2619416832339298,0.27,0.16,0.37
20,1,2008,1881,74.74747474747475,14.047439544807967,13.8,13.2,15.0,0.2658392603129445,0.26,0.17,0.37
21,1,2008,2250,58.666666666666664,15.039772727272727,14.9,14.4,15.8,0.26475000000000004,0.26,0.16,0.38
22,1,2008,2346,34.44160272804774,14.423267326732674,14.6,13.7,15.3,0.19487623762376236,0.16,0.06,0.31
23,1,2008,2244,60.20499108734403,14.065877128053295,14.2,13.4,14.7,0.2684900074019245,0.27,0.14,0.39
24,1,2008,2157,73.2035234121465,13.676377454084864,13.6,12.7,14.6,0.2445155161494617,0.24,0.11,0.36
25,1,2008,2414,70.17398508699254,14.019952774498229,14.0,13.2,14.7,0.2662396694214876,0.27,0.15,0.37
26,1,2008,367,69.48228882833789,13.84,14.0,13.7,14.2,0.2730196078431373,0.31,0.19,0.37
27,1,2008,2346,67.17817561807333,14.431789340101522,14.5,13.2,15.7,0.28085659898477155,0.27,0.15,0.41
28,1,2008,2639,67.33611216369837,15.482554867754642,15.6,14.2,16.3,0.29249859313449633,0.28,0.16,0.43
29,1,2008,2325,75.6989247311828,15.598068181818181,15.6,14.674999999999999,16.325,0.2850511363636364,0.27,0.16,0.41
30,1,2008,2360,72.16101694915254,15.682384028185554,15.7,14.8,16.4,0.2914034057545508,0.29,0.16,0.41
1,2,2008,1911,19.67556253270539,13.258510638297873,13.2,12.7,14.4,0.2040957446808511,0.19,0.13,0.27
2,2,2008,1604,17.955112219451372,12.969097222222222,12.5,12.4,13.8,0.1732638888888889,0.17,0.1,0.25
3,2,2008,75,81.33333333333333,12.995081967213114,13.0,12.9,13.3,0.2118032786885246,0.21,0.13,0.29
4,2,2008,1965,41.78117048346056,12.293909866017051,12.4,11.1,14.0,0.2041412911084044,0.2,0.11,0.3
5,2,2008,2074,11.909353905496625,12.859109311740893,12.4,12.1,14.3,0.27441295546558714,0.29,0.22999999999999998,0.34
6,2,2008,70,90.0,11.069841269841268,11.0,10.6,11.6,0.3246031746031746,0.34,0.275,0.38
7,2,2008,2124,28.24858757062147,14.289,14.2,13.9,14.9,0.21988333333333335,0.22,0.11,0.34
8,2,2008,72,6.944444444444445,11.8,11.8,11.8,11.8,0.038,0.03,0.03,0.03
9,2,2008,2122,59.613572101790766,13.948379446640317,13.9,13.3,14.4,0.20120158102766802,0.18,0.09,0.31
10,2,2008,75,78.66666666666666,13.13050847457627,12.8,12.6,13.9,0.06050847457627117,0.04,0.03,0.11
